Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate3.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-26 18:07:39 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_285-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.267156601,20.6091270447,0.930595696,,,,0,0.01,1,3,20,,Y,N,N
A3,Pdam_287-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.7712364197,20.2832012177,0.6901860237,,,,0,0.01,1,3,20,,Y,N,N
A4,Pdam_287-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3700866699,20.2626075745,0.1519984007,,,,0,0.01,1,3,19,,N,N,N
A5,Pdam_287-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,24.1999053955,23.882232666,0.4492570758,,,,0,0.01,1,3,23,,N,N,N
A6,Pdam_288-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5322608948,19.2964744568,0.3334537148,,,,0,0.01,1,3,18,,N,N,N
A7,Pdam_288-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.982257843,20.6869468689,0.4176327884,,,,0,0.01,1,3,20,,N,N,N
A8,Pdam_289-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.848482132,19.3649520874,0.6838160753,,,,0,0.01,1,3,19,,Y,N,N
A9,Pdam_289-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5731048584,19.4925918579,0.1138639227,,,,0,0.01,1,3,18,,N,N,N
A10,Pdam_289-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5471496582,20.6416358948,0.1336223632,,,,0,0.01,1,3,19,,N,N,N
A11,Pdam_290-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.269487381,19.7507324219,0.7336289287,,,,0,0.01,1,3,19,,Y,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_284-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7444324493,21.5220680237,0.3144694269,,,,0,0.01,1,3,20,,N,N,N
B2,Pdam_285-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.9510955811,20.6091270447,0.930595696,,,,0,0.01,1,3,19,,Y,N,N
B3,Pdam_287-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.7951660156,20.2832012177,0.6901860237,,,,0,0.01,1,3,19,,Y,N,N
B4,Pdam_287-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.155128479,20.2626075745,0.1519984007,,,,0,0.01,1,3,19,,N,N,N
B5,Pdam_287-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,23.5645599365,23.882232666,0.4492570758,,,,0,0.01,1,3,22,,N,N,N
B6,Pdam_288-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.0606861115,19.2964744568,0.3334537148,,,,0,0.01,1,3,18,,N,N,N
B7,Pdam_288-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3916358948,20.6869468689,0.4176327884,,,,0,0.01,1,3,19,,N,N,N
B8,Pdam_289-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.8814201355,19.3649520874,0.6838160753,,,,0,0.01,1,3,18,,Y,N,N
B9,Pdam_289-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4120769501,19.4925918579,0.1138639227,,,,0,0.01,1,3,18,,N,N,N
B10,Pdam_289-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.736120224,20.6416358948,0.1336223632,,,,0,0.01,1,3,20,,N,N,N
B11,Pdam_290-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.2319793701,19.7507324219,0.7336289287,,,,0,0.01,1,3,18,,Y,N,N
B12,Pdam_284-1_16,C,UNKNOWN,VIC,NFQ-MGB,28.4750995636,28.5903587341,0.1630024314,,,,0,0.01,1,3,28,,N,N,N
B12,Pdam_284-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.8461036682,23.8870697021,0.0579333715,,,,0,0.01,1,3,23,,N,N,N
C1,Pdam_284-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2997055054,21.5220680237,0.3144694269,,,,0,0.01,1,3,20,,N,N,N
C2,Pdam_285-1_16,C,UNKNOWN,VIC,NFQ-MGB,23.9398651123,23.868057251,0.101551652,,,,0,0.01,1,3,23,,N,N,N
C2,Pdam_285-1_16,D,UNKNOWN,FAM,NFQ-MGB,24.4664897919,24.4127464294,0.0760045946,,,,0,0.01,1,3,23,,N,N,N
C3,Pdam_287-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.6413154602,23.7072677612,0.0932692885,,,,0,0.01,1,3,23,,N,Y,Y
C3,Pdam_287-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C4,Pdam_287-1_15,C,UNKNOWN,VIC,NFQ-MGB,23.2589263916,23.1496715546,0.1545096785,,,,0,0.01,1,3,22,,N,Y,Y
C4,Pdam_287-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C5,Pdam_287-1_16,C,UNKNOWN,VIC,NFQ-MGB,30.2442245483,30.2653541565,0.0298817791,,,,0,0.01,1,3,29,,N,N,N
C5,Pdam_287-1_16,D,UNKNOWN,FAM,NFQ-MGB,26.9240226746,26.7476158142,0.2494756281,,,,0,0.01,1,3,26,,N,N,N
C6,Pdam_288-1_15,C,UNKNOWN,VIC,NFQ-MGB,22.8902873993,22.8279304504,0.0881860405,,,,0,0.01,1,3,22,,N,Y,Y
C6,Pdam_288-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C7,Pdam_288-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C7,Pdam_288-1_16,D,UNKNOWN,FAM,NFQ-MGB,22.9323673248,22.9388198853,0.0091266474,,,,0,0.01,1,3,22,,N,Y,Y
C8,Pdam_289-1_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C8,Pdam_289-1_14,D,UNKNOWN,FAM,NFQ-MGB,21.8614006042,21.8793392181,0.0253690314,,,,0,0.01,1,3,21,,N,Y,Y
C9,Pdam_289-1_15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C9,Pdam_289-1_15,D,UNKNOWN,FAM,NFQ-MGB,22.7041873932,22.6293125153,0.1058890671,,,,0,0.01,1,3,22,,N,Y,Y
C10,Pdam_289-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C10,Pdam_289-1_16,D,UNKNOWN,FAM,NFQ-MGB,22.9111881256,23.0298728943,0.1678442657,,,,0,0.01,1,3,22,,N,Y,Y
C11,Pdam_290-1_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C11,Pdam_290-1_14,D,UNKNOWN,FAM,NFQ-MGB,22.113117218,22.035369873,0.1099499986,,,,0,0.01,1,3,21,,N,Y,Y
C12,Pdam_284-1_16,C,UNKNOWN,VIC,NFQ-MGB,28.705619812,28.5903587341,0.1630024314,,,,0,0.01,1,3,28,,N,N,N
C12,Pdam_284-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.9280338287,23.8870697021,0.0579333715,,,,0,0.01,1,3,23,,N,N,N
D1,Pdam_285-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4648685455,19.3940868378,0.1001004502,,,,0,0.01,1,3,18,,N,N,N
D2,Pdam_285-1_16,C,UNKNOWN,VIC,NFQ-MGB,23.7962493896,23.868057251,0.101551652,,,,0,0.01,1,3,23,,N,N,N
D2,Pdam_285-1_16,D,UNKNOWN,FAM,NFQ-MGB,24.359003067,24.4127464294,0.0760045946,,,,0,0.01,1,3,23,,N,N,N
D3,Pdam_287-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.7732181549,23.7072677612,0.0932692885,,,,0,0.01,1,3,23,,N,Y,Y
D3,Pdam_287-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D4,Pdam_287-1_15,C,UNKNOWN,VIC,NFQ-MGB,23.0404167175,23.1496715546,0.1545096785,,,,0,0.01,1,3,22,,N,Y,Y
D4,Pdam_287-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,Pdam_287-1_16,C,UNKNOWN,VIC,NFQ-MGB,30.2864837646,30.2653541565,0.0298817791,,,,0,0.01,1,3,29,,N,N,N
D5,Pdam_287-1_16,D,UNKNOWN,FAM,NFQ-MGB,26.5712108612,26.7476158142,0.2494756281,,,,0,0.01,1,3,25,,N,N,N
D6,Pdam_288-1_15,C,UNKNOWN,VIC,NFQ-MGB,22.7655735016,22.8279304504,0.0881860405,,,,0,0.01,1,3,22,,N,Y,Y
D6,Pdam_288-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D7,Pdam_288-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D7,Pdam_288-1_16,D,UNKNOWN,FAM,NFQ-MGB,22.945274353,22.9388198853,0.0091266474,,,,0,0.01,1,3,22,,N,Y,Y
D8,Pdam_289-1_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D8,Pdam_289-1_14,D,UNKNOWN,FAM,NFQ-MGB,21.897277832,21.8793392181,0.0253690314,,,,0,0.01,1,3,21,,N,Y,Y
D9,Pdam_289-1_15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D9,Pdam_289-1_15,D,UNKNOWN,FAM,NFQ-MGB,22.5544376373,22.6293125153,0.1058890671,,,,0,0.01,1,3,21,,N,Y,Y
D10,Pdam_289-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D10,Pdam_289-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.1485557556,23.0298728943,0.1678442657,,,,0,0.01,1,3,22,,N,Y,Y
D11,Pdam_290-1_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D11,Pdam_290-1_14,D,UNKNOWN,FAM,NFQ-MGB,21.9576244354,22.035369873,0.1099499986,,,,0,0.01,1,3,21,,N,Y,Y
D12,Pdam_285-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.488067627,23.4429512024,0.0638056099,,,,0,0.01,1,3,22,,N,N,N
