Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate13_Gal.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-01 16:46:50 PM EDT,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
D3,Pdam_339_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
D4,Pdam_340_14,C,UNKNOWN,VIC,NFQ-MGB,23.8627796173,23.9700565338,0.1517124772,,,,0,0.01,1,3,23,,N,N,N,N,N,Y
D4,Pdam_340_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
D6,Pdam_343_14,C,UNKNOWN,VIC,NFQ-MGB,23.8808746338,23.9253921509,0.0629586279,,,,0,0.01,1,3,23,,N,N,N,N,N,Y
D6,Pdam_343_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
D8,Pdam_359_14,C,UNKNOWN,VIC,NFQ-MGB,26.7499790192,26.7160606384,0.047966484,,,,0,0.01,1,3,26,,N,N,N,N,N,Y
D8,Pdam_359_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
D9,Pdam_360_14,C,UNKNOWN,VIC,NFQ-MGB,26.611738205,26.5386714935,0.1033319309,,,,0,0.01,1,3,26,,N,Y,N,N,N,Y
D9,Pdam_360_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,N,N,Y
D10,Pdam_361_14,C,UNKNOWN,VIC,NFQ-MGB,25.8593387604,25.852180481,0.0101246843,,,,0,0.01,1,3,25,,N,N,N,N,N,Y
D10,Pdam_361_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
D11,Pdam_362_14,C,UNKNOWN,VIC,NFQ-MGB,27.2651596069,27.1258506775,0.1970125735,,,,0,0.01,1,3,27,,N,N,N,N,N,Y
D11,Pdam_362_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
D12,Pdam_336_14,C,UNKNOWN,VIC,NFQ-MGB,24.5836696625,24.5641746521,0.0275687594,,,,0,0.01,1,3,24,,N,N,N,N,N,Y
D12,Pdam_336_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y
