Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Gal1_Dprobes.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-27 21:36:03 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
B12,Pdam_510_14,C,UNKNOWN,VIC,NFQ-MGB,24.9513282776,24.744184494,0.1480251253,,,,0,0.01,1,3,24,,N,N,N,Y
B12,Pdam_510_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2048606873,0.9214392304,,,,0,0.01,1,3,39,,N,N,N,Y
C1,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,28.3955593109,27.8708229065,1.4228246212,,,,0,0.01,1,3,27,,Y,N,N,N
C2,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.3768100739,19.7693634033,0.4290263653,,,,0,0.01,1,3,18,,N,N,N,N
C3,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.6086483002,24.2043247223,1.0417257547,,,,0,0.01,1,3,23,,Y,N,N,N
C4,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.8044567108,27.8708229065,1.4228246212,,,,0,0.01,1,3,26,,Y,N,N,N
C5,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4464969635,19.7693634033,0.4290263653,,,,0,0.01,1,3,18,,N,N,N,N
C6,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.6854419708,24.2043247223,1.0417257547,,,,0,0.01,1,3,23,,Y,N,N,N
C7,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.7144889832,27.8708229065,1.4228246212,,,,0,0.01,1,3,25,,Y,N,N,N
C8,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.6592617035,19.7693634033,0.4290263653,,,,0,0.01,1,3,18,,N,N,N,N
C9,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.3385314941,24.2043247223,1.0417257547,,,,0,0.01,1,3,22,,Y,N,N,N
C10,Pdam_506_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.6974811554,27.8708229065,1.4228246212,,,,0,0.01,1,3,25,,Y,N,N,N
C11,Pdam_509_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4414329529,19.7693634033,0.4290263653,,,,0,0.01,1,3,18,,N,N,N,N
C12,Pdam_510_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.8765163422,24.2043247223,1.0417257547,,,,0,0.01,1,3,23,,Y,N,N,N
D1,Pdam_506_14,C,UNKNOWN,VIC,NFQ-MGB,36.5748405457,35.6315116882,1.4339088202,,,,0,0.01,1,3,39,,Y,N,N,Y
D1,Pdam_506_14,D,UNKNOWN,FAM,NFQ-MGB,24.4671535492,24.3410720825,0.1449376494,,,,0,0.01,1,3,23,,Y,N,N,Y
D2,Pdam_509_14,C,UNKNOWN,VIC,NFQ-MGB,25.6725597382,25.9309120178,0.2280867845,,,,0,0.01,1,3,25,,N,N,N,N
D2,Pdam_509_14,D,UNKNOWN,FAM,NFQ-MGB,31.3577213287,31.2690086365,0.3747209907,,,,0,0.01,1,3,30,,N,N,N,N
D3,Pdam_510_14,C,UNKNOWN,VIC,NFQ-MGB,24.6770763397,24.744184494,0.1480251253,,,,0,0.01,1,3,24,,N,N,N,Y
D3,Pdam_510_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2048606873,0.9214392304,,,,0,0.01,1,3,39,,N,N,N,Y
D4,Pdam_506_14,C,UNKNOWN,VIC,NFQ-MGB,36.7391548157,35.6315116882,1.4339088202,,,,0,0.01,1,3,39,,Y,N,N,Y
D4,Pdam_506_14,D,UNKNOWN,FAM,NFQ-MGB,24.1137218475,24.3410720825,0.1449376494,,,,0,0.01,1,3,23,,Y,N,N,Y
D5,Pdam_509_14,C,UNKNOWN,VIC,NFQ-MGB,26.0576705933,25.9309120178,0.2280867845,,,,0,0.01,1,3,25,,N,N,N,N
D5,Pdam_509_14,D,UNKNOWN,FAM,NFQ-MGB,30.9833583832,31.2690086365,0.3747209907,,,,0,0.01,1,3,30,,N,N,N,N
D6,Pdam_510_14,C,UNKNOWN,VIC,NFQ-MGB,24.6788673401,24.744184494,0.1480251253,,,,0,0.01,1,3,24,,Y,N,N,Y
D6,Pdam_510_14,D,UNKNOWN,FAM,NFQ-MGB,39.9635925293,39.2048606873,0.9214392304,,,,0,0.01,1,3,39,,Y,N,N,Y
