Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-26 15:19:42 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C6,Pdam_259-1_15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C6,Pdam_259-1_15,D,UNKNOWN,FAM,NFQ-MGB,22.4789905548,22.4295463562,0.0699260086,,,,0,0.01,1,3,21,,N,Y,Y
C7,Pdam_259-1_16,C,UNKNOWN,VIC,NFQ-MGB,24.8504543304,24.8069438934,0.0615330487,,,,0,0.01,1,3,24,,N,N,N
C7,Pdam_259-1_16,D,UNKNOWN,FAM,NFQ-MGB,28.4006690979,28.0632171631,0.4772304595,,,,0,0.01,1,3,28,,N,N,N
C8,Pdam_260-1_14,C,UNKNOWN,VIC,NFQ-MGB,25.4623775482,25.2740859985,0.2662831247,,,,0,0.01,1,3,25,,N,Y,Y
C8,Pdam_260-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C9,Pdam_260-1_15,C,UNKNOWN,VIC,NFQ-MGB,24.6493320465,24.7188186646,0.0982702672,,,,0,0.01,1,3,24,,N,Y,Y
C9,Pdam_260-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C10,Pdam_260-1_16,C,UNKNOWN,VIC,NFQ-MGB,25.6081752777,25.5466804504,0.0869668201,,,,0,0.01,1,3,25,,N,Y,Y
C10,Pdam_260-1_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C11,Pdam_262-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.630645752,22.5905227661,0.0567438193,,,,0,0.01,1,3,21,,N,Y,Y
C11,Pdam_262-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C12,Pdam_256-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.3729801178,22.4256153107,0.0744374022,,,,0,0.01,1,3,22,,N,N,Y
C12,Pdam_256-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D1,Pdam_256-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.0945682526,21.1811637878,0.1224659309,,,,0,0.01,1,3,20,,N,N,N
D2,Pdam_257-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.5732898712,22.6628570557,0.126667127,,,,0,0.01,1,3,21,,N,N,N
D2,Pdam_257-1_14,D,UNKNOWN,FAM,NFQ-MGB,18.8114967346,18.8303222656,0.0266233217,,,,0,0.01,1,3,18,,N,N,N
D3,Pdam_257-1_15,C,UNKNOWN,VIC,NFQ-MGB,26.1806049347,26.0397262573,0.1992311925,,,,0,0.01,1,3,25,,N,Y,Y
D3,Pdam_257-1_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D4,Pdam_257-1_16,C,UNKNOWN,VIC,NFQ-MGB,25.5038471222,25.583065033,0.1120310426,,,,0,0.01,1,3,25,,N,Y,Y
D4,Pdam_257-1_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,Pdam_259-1_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,Pdam_259-1_14,D,UNKNOWN,FAM,NFQ-MGB,21.7954292297,22.0010662079,0.2908146083,,,,0,0.01,1,3,21,,N,Y,Y
D6,Pdam_259-1_15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D6,Pdam_259-1_15,D,UNKNOWN,FAM,NFQ-MGB,22.3801002502,22.4295463562,0.0699260086,,,,0,0.01,1,3,21,,N,Y,Y
D7,Pdam_259-1_16,C,UNKNOWN,VIC,NFQ-MGB,24.7634334564,24.8069438934,0.0615330487,,,,0,0.01,1,3,24,,N,N,N
D7,Pdam_259-1_16,D,UNKNOWN,FAM,NFQ-MGB,27.7257633209,28.0632171631,0.4772304595,,,,0,0.01,1,3,27,,N,N,N
D8,Pdam_260-1_14,C,UNKNOWN,VIC,NFQ-MGB,25.0857963562,25.2740859985,0.2662831247,,,,0,0.01,1,3,24,,N,Y,Y
