Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate8.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-10 17:31:56 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_367-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.1514892578,21.5624656677,0.8330065012,,,,0,0.01,1,3,21,,Y,N,N
A3,Pdam_369-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.5328216553,24.4018268585,0.1852546185,,,,0,0.01,1,3,24,,N,N,N
A4,Pdam_369-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3952713013,22.0815620422,0.4436505437,,,,0,0.01,1,3,21,,N,N,N
A5,Pdam_372-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2660312653,21.3055000305,0.0558159128,,,,0,0.01,1,3,20,,N,N,N
A6,Pdam_372-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9999656677,20.6463699341,0.500061214,,,,0,0.01,1,3,20,,Y,N,N
A7,Pdam_374-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5189418793,21.3992996216,0.1692010462,,,,0,0.01,1,3,20,,N,N,N
A8,Pdam_374-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3877639771,21.3265686035,0.0865446776,,,,0,0.01,1,3,20,,N,N,N
A9,Pdam_377-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.1317539215,21.8952903748,0.3344086111,,,,0,0.01,1,3,21,,N,N,N
A10,Pdam_377-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3108901978,25.3302536011,4.2700233459,,,,0,0.01,1,3,21,,Y,N,N
A11,Pdam_379-2_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.8275470734,21.7157478333,1.5723215342,,,,0,0.01,1,3,22,,Y,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_364-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.2913570404,22.3372535706,0.0649088472,,,,0,0.01,1,3,21,,N,N,N
B2,Pdam_367-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9734401703,21.5624656677,0.8330065012,,,,0,0.01,1,3,20,,Y,N,N
