Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate11-Deep.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-27 23:37:32 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOSIGNAL,EXPFAIL
B10,Pdam_RR80_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.5133800507,22.4239959717,0.1264095306,,,,0,0.01,1,3,21,,N,N,N,N
B11,Pdam_Pdam1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2901382446,21.1554870605,0.1904268861,,,,0,0.01,1,3,20,,N,N,N,N
B12,Pdam_344_15,C,UNKNOWN,VIC,NFQ-MGB,24.3664836884,24.4114818573,0.0636370182,,,,0,0.01,1,3,24,,N,N,N,Y
B12,Pdam_344_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C1,Pdam_344_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2215557098,20.2571411133,0.0503240116,,,,0,0.01,1,3,18,,N,N,N,N
C2,Pdam_282-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.97133255,22.9928665161,0.0304549765,,,,0,0.01,1,3,22,,N,N,N,Y
C2,Pdam_282-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C3,Pdam_RR35_15,C,UNKNOWN,VIC,NFQ-MGB,23.5011291504,23.3108139038,0.2691464126,,,,0,0.01,1,3,23,,N,N,N,Y
C3,Pdam_RR35_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C4,Pdam_RR43_15,C,UNKNOWN,VIC,NFQ-MGB,23.7365837097,23.8547382355,0.1670957357,,,,0,0.01,1,3,23,,N,N,N,N
C4,Pdam_RR43_15,D,UNKNOWN,FAM,NFQ-MGB,31.2001152039,31.2851161957,0.1202095523,,,,0,0.01,1,3,30,,N,N,N,N
C5,Pdam_RR47_15,C,UNKNOWN,VIC,NFQ-MGB,24.5122241974,24.3380794525,0.2462778538,,,,0,0.01,1,3,24,,N,N,N,Y
C5,Pdam_RR47_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C6,Pdam_648_15,C,UNKNOWN,VIC,NFQ-MGB,24.3229866028,24.2700386047,0.0748797804,,,,0,0.01,1,3,23,,N,N,N,Y
C6,Pdam_648_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C7,Pdam_RR54_15,C,UNKNOWN,VIC,NFQ-MGB,23.5011711121,24.150434494,0.9181970954,,,,0,0.01,1,3,22,,N,Y,N,Y
C7,Pdam_RR54_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
C8,Pdam_RR62_16,C,UNKNOWN,VIC,NFQ-MGB,24.1834831238,24.1282920837,0.0780505687,,,,0,0.01,1,3,23,,N,N,N,Y
C8,Pdam_RR62_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C9,Pdam_RR76_16,C,UNKNOWN,VIC,NFQ-MGB,25.9284954071,25.9173316956,0.0157892201,,,,0,0.01,1,3,25,,N,N,N,N
C9,Pdam_RR76_16,D,UNKNOWN,FAM,NFQ-MGB,26.6307563782,26.5027999878,0.1809590161,,,,0,0.01,1,3,25,,N,N,N,N
C10,Pdam_RR80_16,C,UNKNOWN,VIC,NFQ-MGB,30.326007843,30.1893939972,0.1932011545,,,,0,0.01,1,3,30,,N,N,N,N
C10,Pdam_RR80_16,D,UNKNOWN,FAM,NFQ-MGB,24.4062213898,24.2997779846,0.1505323648,,,,0,0.01,1,3,23,,N,N,N,N
C11,Pdam_Pdam1_16,C,UNKNOWN,VIC,NFQ-MGB,23.9626331329,23.9948616028,0.0455779396,,,,0,0.01,1,3,23,,N,N,N,Y
C11,Pdam_Pdam1_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
C12,Pdam_344_15,C,UNKNOWN,VIC,NFQ-MGB,24.4564800262,24.4114818573,0.0636370182,,,,0,0.01,1,3,24,,N,N,N,Y
C12,Pdam_344_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D1,Pdam_344_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.6485233307,21.9123821259,0.3731526732,,,,0,0.01,1,3,20,,N,N,N,N
D2,Pdam_282-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.0144023895,22.9928665161,0.0304549765,,,,0,0.01,1,3,22,,N,N,N,Y
D2,Pdam_282-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D3,Pdam_RR35_15,C,UNKNOWN,VIC,NFQ-MGB,23.1204986572,23.3108139038,0.2691464126,,,,0,0.01,1,3,22,,N,N,N,Y
D3,Pdam_RR35_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D4,Pdam_RR43_15,C,UNKNOWN,VIC,NFQ-MGB,23.9728927612,23.8547382355,0.1670957357,,,,0,0.01,1,3,23,,N,N,N,N
D4,Pdam_RR43_15,D,UNKNOWN,FAM,NFQ-MGB,31.3701171875,31.2851161957,0.1202095523,,,,0,0.01,1,3,30,,N,N,N,N
D5,Pdam_RR47_15,C,UNKNOWN,VIC,NFQ-MGB,24.1639347076,24.3380794525,0.2462778538,,,,0,0.01,1,3,23,,N,N,N,Y
D5,Pdam_RR47_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D6,Pdam_648_15,C,UNKNOWN,VIC,NFQ-MGB,24.2170906067,24.2700386047,0.0748797804,,,,0,0.01,1,3,23,,N,N,N,Y
D6,Pdam_648_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D7,Pdam_RR54_15,C,UNKNOWN,VIC,NFQ-MGB,24.799697876,24.150434494,0.9181970954,,,,0,0.01,1,3,24,,N,Y,N,Y
D7,Pdam_RR54_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,N,Y
D8,Pdam_RR62_16,C,UNKNOWN,VIC,NFQ-MGB,24.073102951,24.1282920837,0.0780505687,,,,0,0.01,1,3,23,,N,N,N,Y
D8,Pdam_RR62_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D9,Pdam_RR76_16,C,UNKNOWN,VIC,NFQ-MGB,25.9061660767,25.9173316956,0.0157892201,,,,0,0.01,1,3,25,,N,N,N,N
D9,Pdam_RR76_16,D,UNKNOWN,FAM,NFQ-MGB,26.3748416901,26.5027999878,0.1809590161,,,,0,0.01,1,3,25,,N,N,N,N
D10,Pdam_RR80_16,C,UNKNOWN,VIC,NFQ-MGB,30.0527801514,30.1893939972,0.1932011545,,,,0,0.01,1,3,30,,N,N,N,N
D10,Pdam_RR80_16,D,UNKNOWN,FAM,NFQ-MGB,24.1933364868,24.2997779846,0.1505323648,,,,0,0.01,1,3,22,,N,N,N,N
D11,Pdam_Pdam1_16,C,UNKNOWN,VIC,NFQ-MGB,24.0270900726,23.9948616028,0.0455779396,,,,0,0.01,1,3,23,,N,N,N,Y
D11,Pdam_Pdam1_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
D12,Pdam_344_16,C,UNKNOWN,VIC,NFQ-MGB,24.2944545746,24.3686752319,0.1049638614,,,,0,0.01,1,3,23,,N,N,N,Y
D12,Pdam_344_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
E1,Pdam_344_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.176240921,21.9123821259,0.3731526732,,,,0,0.01,1,3,21,,N,N,N,N
E2,Pdam_Pdam2_16,C,UNKNOWN,VIC,NFQ-MGB,25.0542201996,25.0770339966,0.0322649293,,,,0,0.01,1,3,24,,N,N,N,Y
E2,Pdam_Pdam2_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
E3,Pdam_Pdam3_16,C,UNKNOWN,VIC,NFQ-MGB,23.7152881622,23.8047389984,0.1265025884,,,,0,0.01,1,3,23,,N,N,N,Y
E3,Pdam_Pdam3_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
E4,Pdam_Pdam4_16,C,UNKNOWN,VIC,NFQ-MGB,24.0106773376,24.2907524109,0.3960873187,,,,0,0.01,1,3,23,,N,N,N,Y
E4,Pdam_Pdam4_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
E5,Pdam_Pdam5_16,C,UNKNOWN,VIC,NFQ-MGB,25.0941848755,25.1048240662,0.015046088,,,,0,0.01,1,3,24,,N,N,N,Y
E5,Pdam_Pdam5_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
E6,Pdam_CA-29_16,C,UNKNOWN,VIC,NFQ-MGB,29.8470516205,30.0168304443,0.2401021719,,,,0,0.01,1,3,29,,N,N,N,N
E6,Pdam_CA-29_16,D,UNKNOWN,FAM,NFQ-MGB,23.7255134583,23.7576751709,0.0454835296,,,,0,0.01,1,3,22,,N,N,N,N
E7,Pdam_CA-30_16,C,UNKNOWN,VIC,NFQ-MGB,24.9370307922,24.9065895081,0.0430491269,,,,0,0.01,1,3,24,,N,N,N,N
E7,Pdam_CA-30_16,D,UNKNOWN,FAM,NFQ-MGB,35.7365989685,35.7365989685,,,,,0,0.01,1,3,34,,N,N,N,N
E8,Pdam_CA-33_16,C,UNKNOWN,VIC,NFQ-MGB,29.3073387146,32.8205528259,4.9684348106,,,,0,0.01,1,3,27,,N,Y,N,N
E8,Pdam_CA-33_16,D,UNKNOWN,FAM,NFQ-MGB,23.2577648163,23.3161315918,0.082541734,,,,0,0.01,1,3,21,,N,Y,N,N
E9,Pdam_CA-34A_16,C,UNKNOWN,VIC,NFQ-MGB,25.6540756226,25.7279777527,0.1045120433,,,,0,0.01,1,3,25,,N,N,N,N
E9,Pdam_CA-34A_16,D,UNKNOWN,FAM,NFQ-MGB,30.5576591492,30.7211341858,0.2311886102,,,,0,0.01,1,3,29,,N,N,N,N
E10,Pdam_CA-34B_16,C,UNKNOWN,VIC,NFQ-MGB,23.9469490051,24.2138519287,0.3774563968,,,,0,0.01,1,3,23,,N,N,N,N
E10,Pdam_CA-34B_16,D,UNKNOWN,FAM,NFQ-MGB,35.2035522461,35.2035522461,,,,,0,0.01,1,3,34,,N,N,N,N
E11,Pdam_Ross_16,C,UNKNOWN,VIC,NFQ-MGB,24.0387268066,24.2312278748,0.2722389698,,,,0,0.01,1,3,23,,N,N,N,Y
E11,Pdam_Ross_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
E12,Pdam_344_16,C,UNKNOWN,VIC,NFQ-MGB,24.4428958893,24.3686752319,0.1049638614,,,,0,0.01,1,3,23,,N,N,N,Y
E12,Pdam_344_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F1,Pdam_Ross_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.2182254791,22.3023300171,0.118943125,,,,0,0.01,1,3,21,,N,N,N,N
F2,Pdam_Pdam2_16,C,UNKNOWN,VIC,NFQ-MGB,25.0998497009,25.0770339966,0.0322649293,,,,0,0.01,1,3,24,,N,N,N,Y
F2,Pdam_Pdam2_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F3,Pdam_Pdam3_16,C,UNKNOWN,VIC,NFQ-MGB,23.8941898346,23.8047389984,0.1265025884,,,,0,0.01,1,3,23,,N,N,N,Y
F3,Pdam_Pdam3_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F4,Pdam_Pdam4_16,C,UNKNOWN,VIC,NFQ-MGB,24.5708293915,24.2907524109,0.3960873187,,,,0,0.01,1,3,24,,N,N,N,Y
F4,Pdam_Pdam4_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F5,Pdam_Pdam5_16,C,UNKNOWN,VIC,NFQ-MGB,25.1154632568,25.1048240662,0.015046088,,,,0,0.01,1,3,24,,N,N,N,Y
F5,Pdam_Pdam5_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F6,Pdam_CA-29_16,C,UNKNOWN,VIC,NFQ-MGB,30.1866073608,30.0168304443,0.2401021719,,,,0,0.01,1,3,30,,N,N,N,N
F6,Pdam_CA-29_16,D,UNKNOWN,FAM,NFQ-MGB,23.7898368835,23.7576751709,0.0454835296,,,,0,0.01,1,3,22,,N,N,N,N
F7,Pdam_CA-30_16,C,UNKNOWN,VIC,NFQ-MGB,24.8761501312,24.9065895081,0.0430491269,,,,0,0.01,1,3,24,,N,N,N,Y
F7,Pdam_CA-30_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.7365989685,,,,,0,0.01,1,3,39,,N,N,N,Y
F8,Pdam_CA-33_16,C,UNKNOWN,VIC,NFQ-MGB,36.3337669373,32.8205528259,4.9684348106,,,,0,0.01,1,3,39,,N,Y,N,Y
F8,Pdam_CA-33_16,D,UNKNOWN,FAM,NFQ-MGB,23.37449646,23.3161315918,0.082541734,,,,0,0.01,1,3,22,,N,Y,N,Y
F9,Pdam_CA-34A_16,C,UNKNOWN,VIC,NFQ-MGB,25.8018779755,25.7279777527,0.1045120433,,,,0,0.01,1,3,25,,N,N,N,N
F9,Pdam_CA-34A_16,D,UNKNOWN,FAM,NFQ-MGB,30.8846092224,30.7211341858,0.2311886102,,,,0,0.01,1,3,29,,N,N,N,N
F10,Pdam_CA-34B_16,C,UNKNOWN,VIC,NFQ-MGB,24.4807529449,24.2138519287,0.3774563968,,,,0,0.01,1,3,24,,N,N,N,Y
F10,Pdam_CA-34B_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.2035522461,,,,,0,0.01,1,3,39,,N,N,N,Y
F11,Pdam_Ross_16,C,UNKNOWN,VIC,NFQ-MGB,24.4237308502,24.2312278748,0.2722389698,,,,0,0.01,1,3,23,,N,N,N,Y
F11,Pdam_Ross_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
F12,Pdam_Ross_15,C,UNKNOWN,VIC,NFQ-MGB,24.2587146759,24.4401130676,0.2565347254,,,,0,0.01,1,3,23,,N,N,N,N
F12,Pdam_Ross_15,D,UNKNOWN,FAM,NFQ-MGB,27.4769630432,27.6389465332,0.2290792465,,,,0,0.01,1,3,26,,N,N,N,N
G1,Pdam_Ross_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3864364624,22.3023300171,0.118943125,,,,0,0.01,1,3,21,,N,N,N,N
G2,Pdam_Pdam2_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.1115550995,20.2338867188,0.1730030328,,,,0,0.01,1,3,19,,N,N,N,N
G3,Pdam_Pdam3_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5728912354,21.6229381561,0.0707770362,,,,0,0.01,1,3,20,,N,N,N,N
G4,Pdam_Pdam4_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2781200409,21.1299552917,0.209535256,,,,0,0.01,1,3,20,,N,N,N,N
G5,Pdam_Pdam5_16,Pdam,UNKNOWN,FAM,NFQ-MGB,23.6505908966,23.6121864319,0.0543134622,,,,0,0.01,1,3,22,,N,N,N,N
G6,Pdam_CA-29_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7226886749,21.9410820007,0.3088547885,,,,0,0.01,1,3,20,,N,N,N,N
G7,Pdam_CA-30_16,Pdam,UNKNOWN,FAM,NFQ-MGB,23.1814460754,23.227809906,0.0655697063,,,,0,0.01,1,3,22,,N,N,N,N
G8,Pdam_CA-33_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.1471805573,21.2697067261,0.1732795238,,,,0,0.01,1,3,20,,N,N,N,N
G9,Pdam_CA-34A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,23.3988265991,23.1048870087,0.4156933427,,,,0,0.01,1,3,22,,N,N,N,N
G10,Pdam_CA-34B_16,Pdam,UNKNOWN,FAM,NFQ-MGB,24.7730388641,25.335105896,0.7948814631,,,,0,0.01,1,3,23,,N,Y,N,N
G11,Pdam_Ross_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.5027637482,22.6613273621,0.2242441624,,,,0,0.01,1,3,21,,N,N,N,N
G12,Pdam_Ross_15,C,UNKNOWN,VIC,NFQ-MGB,24.621509552,24.4401130676,0.2565347254,,,,0,0.01,1,3,24,,N,N,N,N
G12,Pdam_Ross_15,D,UNKNOWN,FAM,NFQ-MGB,27.8009300232,27.6389465332,0.2290792465,,,,0,0.01,1,3,26,,N,N,N,N
H1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
H2,Pdam_Pdam2_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.356218338,20.2338867188,0.1730030328,,,,0,0.01,1,3,19,,N,N,N,N
H3,Pdam_Pdam3_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.6729850769,21.6229381561,0.0707770362,,,,0,0.01,1,3,20,,N,N,N,N
H4,Pdam_Pdam4_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.98179245,21.1299552917,0.209535256,,,,0,0.01,1,3,19,,N,N,N,N
H5,Pdam_Pdam5_16,Pdam,UNKNOWN,FAM,NFQ-MGB,23.5737800598,23.6121864319,0.0543134622,,,,0,0.01,1,3,22,,N,N,N,N
H6,Pdam_CA-29_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.1594753265,21.9410820007,0.3088547885,,,,0,0.01,1,3,21,,N,N,N,N
H7,Pdam_CA-30_16,Pdam,UNKNOWN,FAM,NFQ-MGB,23.2741756439,23.227809906,0.0655697063,,,,0,0.01,1,3,22,,N,N,N,N
H8,Pdam_CA-33_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3922348022,21.2697067261,0.1732795238,,,,0,0.01,1,3,20,,N,N,N,N
H9,Pdam_CA-34A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.8109474182,23.1048870087,0.4156933427,,,,0,0.01,1,3,21,,N,N,N,N
H10,Pdam_CA-34B_16,Pdam,UNKNOWN,FAM,NFQ-MGB,25.8971710205,25.335105896,0.7948814631,,,,0,0.01,1,3,24,,N,Y,N,N
H11,Pdam_Ross_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.8198928833,22.6613273621,0.2242441624,,,,0,0.01,1,3,21,,N,N,N,N
H12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,8.8897943497,10.6399307251,2.4750673771,,,,0,0.01,1,3,39,,Y,Y,Y,Y
H12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,13.1280431747,14.3041067123,1.6632050276,,,,0,0.01,1,3,39,,Y,Y,Y,Y
