Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate11-Deep.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-27 23:37:32 PM EDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOSIGNAL,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,Y
A2,Pdam_282-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5204772949,19.2341499329,0.4049266875,,,,0,0.01,1,3,18,,N,N,N,N
A3,Pdam_RR35_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.2273273468,21.9083366394,0.4511223435,,,,0,0.01,1,3,21,,N,N,N,N
A4,Pdam_RR43_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.491481781,21.3032951355,0.2661361098,,,,0,0.01,1,3,20,,N,N,N,N
A5,Pdam_RR47_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.2260322571,21.0688171387,0.2223343998,,,,0,0.01,1,3,19,,N,N,N,N
A6,Pdam_648_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.4608860016,20.3364219666,0.1760173738,,,,0,0.01,1,3,18,,N,N,N,N
A7,Pdam_RR54_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.1978168488,20.3540248871,0.2209115326,,,,0,0.01,1,3,19,,N,N,N,N
A8,Pdam_RR62_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.4249839783,21.410528183,0.020443581,,,,0,0.01,1,3,20,,N,N,N,N
A9,Pdam_RR76_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.6319904327,21.5083522797,0.174850747,,,,0,0.01,1,3,20,,N,N,N,N
A10,Pdam_RR80_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3346099854,22.4239959717,0.1264095306,,,,0,0.01,1,3,21,,N,N,N,N
A11,Pdam_Pdam1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.0208339691,21.1554870605,0.1904268861,,,,0,0.01,1,3,19,,N,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,12.3900680542,10.6399307251,2.4750673771,,,,0,0.01,1,3,36,,Y,Y,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,15.4801702499,14.3041067123,1.6632050276,,,,0,0.01,1,3,39,,Y,Y,Y,Y
B1,Pdam_344_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2927246094,20.2571411133,0.0503240116,,,,0,0.01,1,3,19,,N,N,N,N
B2,Pdam_282-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.9478244781,19.2341499329,0.4049266875,,,,0,0.01,1,3,18,,N,N,N,N
B3,Pdam_RR35_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5893440247,21.9083366394,0.4511223435,,,,0,0.01,1,3,20,,N,N,N,N
B4,Pdam_RR43_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.11510849,21.3032951355,0.2661361098,,,,0,0.01,1,3,19,,N,N,N,N
B5,Pdam_RR47_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9116039276,21.0688171387,0.2223343998,,,,0,0.01,1,3,19,,N,N,N,N
B6,Pdam_648_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2119598389,20.3364219666,0.1760173738,,,,0,0.01,1,3,18,,N,N,N,N
B7,Pdam_RR54_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5102329254,20.3540248871,0.2209115326,,,,0,0.01,1,3,19,,N,N,N,N
B8,Pdam_RR62_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3960723877,21.410528183,0.020443581,,,,0,0.01,1,3,20,,N,N,N,N
B9,Pdam_RR76_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3847141266,21.5083522797,0.174850747,,,,0,0.01,1,3,20,,N,N,N,N
