Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate6b.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-30 17:53:18 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_339-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3597793579,20.9359607697,0.5993700027,,,,0,0.01,1,3,20,,Y,N,N
A3,Pdam_339-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9761829376,20.968082428,0.0114545021,,,,0,0.01,1,3,20,,N,N,N
A4,Pdam_339-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.815700531,20.6219272614,0.2740367949,,,,0,0.01,1,3,20,,N,N,N
A5,Pdam_340-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3842182159,21.8799610138,0.7131273746,,,,0,0.01,1,3,21,,Y,N,N
A6,Pdam_340-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.0883045197,20.6329116821,0.6440240741,,,,0,0.01,1,3,20,,Y,N,N
A7,Pdam_340-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3583602905,22.2599258423,0.1392073333,,,,0,0.01,1,3,21,,N,N,N
A8,Pdam_340-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.9123706818,19.9415016174,0.0411960147,,,,0,0.01,1,3,19,,N,N,N
A9,Pdam_345-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.6144657135,18.3828887939,0.3274992108,,,,0,0.01,1,3,17,,N,N,N
A10,Pdam_345-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6090946198,21.231754303,0.8805737495,,,,0,0.01,1,3,19,,Y,N,N
A11,Pdam_345-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5299339294,19.5046405792,0.0357702002,,,,0,0.01,1,3,18,,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_336-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8844432831,19.7371788025,0.208262071,,,,0,0.01,1,3,18,,N,N,N
B2,Pdam_339-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5121421814,20.9359607697,0.5993700027,,,,0,0.01,1,3,19,,Y,N,N
B3,Pdam_339-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9599838257,20.968082428,0.0114545021,,,,0,0.01,1,3,20,,N,N,N
B4,Pdam_339-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.4281539917,20.6219272614,0.2740367949,,,,0,0.01,1,3,19,,N,N,N
B5,Pdam_340-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.3757038116,21.8799610138,0.7131273746,,,,0,0.01,1,3,20,,Y,N,N
B6,Pdam_340-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.1775169373,20.6329116821,0.6440240741,,,,0,0.01,1,3,19,,Y,N,N
B7,Pdam_340-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,22.161491394,22.2599258423,0.1392073333,,,,0,0.01,1,3,21,,N,N,N
B8,Pdam_340-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.9706306458,19.9415016174,0.0411960147,,,,0,0.01,1,3,19,,N,N,N
B9,Pdam_345-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.1513118744,18.3828887939,0.3274992108,,,,0,0.01,1,3,17,,N,N,N
B10,Pdam_345-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.8544139862,21.231754303,0.8805737495,,,,0,0.01,1,3,21,,Y,N,N
B11,Pdam_345-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.479347229,19.5046405792,0.0357702002,,,,0,0.01,1,3,18,,N,N,N
B12,Pdam_336-1B_15,C,UNKNOWN,VIC,NFQ-MGB,22.9871330261,23.0003528595,0.0186956674,,,,0,0.01,1,3,22,,N,N,Y
B12,Pdam_336-1B_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C1,Pdam_336-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5899162292,19.7371788025,0.208262071,,,,0,0.01,1,3,18,,N,N,N
C2,Pdam_339-1A_15,C,UNKNOWN,VIC,NFQ-MGB,24.7519226074,24.8316078186,0.1126919091,,,,0,0.01,1,3,24,,N,Y,Y
C2,Pdam_339-1A_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C3,Pdam_339-1B_15,C,UNKNOWN,VIC,NFQ-MGB,23.8135585785,23.7135753632,0.1413976252,,,,0,0.01,1,3,23,,N,Y,Y
C3,Pdam_339-1B_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C4,Pdam_339-1A_16,C,UNKNOWN,VIC,NFQ-MGB,31.9966030121,34.1287307739,3.0152852535,,,,0,0.01,1,3,32,,Y,N,N
C4,Pdam_339-1A_16,D,UNKNOWN,FAM,NFQ-MGB,23.2430286407,23.2453956604,0.0033461226,,,,0,0.01,1,3,22,,Y,N,N
C5,Pdam_340-1A_14,C,UNKNOWN,VIC,NFQ-MGB,26.5882930756,26.6619777679,0.1042058915,,,,0,0.01,1,3,26,,N,Y,Y
C5,Pdam_340-1A_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C6,Pdam_340-1A_15,C,UNKNOWN,VIC,NFQ-MGB,28.0922317505,28.1219139099,0.0419769138,,,,0,0.01,1,3,27,,N,Y,Y
C6,Pdam_340-1A_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C7,Pdam_340-1B_15,C,UNKNOWN,VIC,NFQ-MGB,26.4232692719,26.2777824402,0.2057480961,,,,0,0.01,1,3,26,,Y,N,N
C7,Pdam_340-1B_15,D,UNKNOWN,FAM,NFQ-MGB,32.3785171509,33.5118103027,1.6027212143,,,,0,0.01,1,3,32,,Y,N,N
C8,Pdam_340-1A_16,C,UNKNOWN,VIC,NFQ-MGB,25.775302887,25.7635993958,0.0165512357,,,,0,0.01,1,3,25,,N,Y,Y
C8,Pdam_340-1A_16,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
