Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate15_Gal.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-11-02 12:17:49 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_474_14,Pdam,UNKNOWN,FAM,NFQ-MGB,26.5056476593,25.7455291748,1.0749698877,,,,0,0.01,1,3,25,,Y,N,N
A3,Pdam_475_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.5831050873,22.451587677,0.1859923601,,,,0,0.01,1,3,21,,N,N,N
A4,Pdam_479_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.1263027191,23.0674972534,1.497377038,,,,0,0.01,1,3,23,,Y,N,N
A5,Pdam_481_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.6097946167,22.6481151581,1.3600201607,,,,0,0.01,1,3,22,,Y,N,N
A6,Pdam_482_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.993522644,23.4685440063,0.74243325,,,,0,0.01,1,3,23,,Y,N,N
A7,Pdam_484_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.9571876526,21.6822547913,0.3888124228,,,,0,0.01,1,3,21,,N,N,N
A8,Pdam_485_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.9913463593,25.1254234314,0.1896122694,,,,0,0.01,1,3,24,,N,N,N
A9,Pdam_486_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.1929721832,22.5445251465,0.9170439243,,,,0,0.01,1,3,22,,Y,N,N
A10,Pdam_487_14,Pdam,UNKNOWN,FAM,NFQ-MGB,23.9600944519,23.6281242371,0.4694754183,,,,0,0.01,1,3,23,,N,N,N
A11,Pdam_489_14,Pdam,UNKNOWN,FAM,NFQ-MGB,27.7183132172,27.3340644836,0.5434097648,,,,0,0.01,1,3,26,,Y,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_468_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.239233017,22.0510826111,0.2660861909,,,,0,0.01,1,3,21,,N,N,N
B2,Pdam_474_14,Pdam,UNKNOWN,FAM,NFQ-MGB,24.9854106903,25.7455291748,1.0749698877,,,,0,0.01,1,3,24,,Y,N,N
B3,Pdam_475_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.3200721741,22.451587677,0.1859923601,,,,0,0.01,1,3,21,,N,N,N
B4,Pdam_479_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.0086917877,23.0674972534,1.497377038,,,,0,0.01,1,3,21,,Y,N,N
B5,Pdam_481_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.6864356995,22.6481151581,1.3600201607,,,,0,0.01,1,3,20,,Y,N,N
B6,Pdam_482_14,Pdam,UNKNOWN,FAM,NFQ-MGB,22.9435634613,23.4685440063,0.74243325,,,,0,0.01,1,3,22,,Y,N,N
