Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-27 16:32:02 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_267_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5219459534,21.7393188477,0.3074103594,,,,0,0.01,1,3,20,,N,N,N
A3,Pdam_268-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.3231697083,19.4892463684,0.2348692119,,,,0,0.01,1,3,18,,N,N,N
A5,Pdam_268-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.4966526031,22.4571762085,0.0558267049,,,,0,0.01,1,3,21,,N,N,N
A6,Pdam_269-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.9270000458,18.6314849854,0.417920053,,,,0,0.01,1,3,18,,N,N,N
A7,Pdam_269-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3217048645,20.1473693848,0.2465489507,,,,0,0.01,1,3,19,,N,N,N
A8,Pdam_269-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2814407349,20.2856330872,0.0059288815,,,,0,0.01,1,3,19,,N,N,N
A9,Pdam_270-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.0546627045,19.0951766968,0.0572954379,,,,0,0.01,1,3,18,,N,N,N
A10,Pdam_270-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.1594810486,21.3521766663,0.2725127637,,,,0,0.01,1,3,20,,N,N,N
A11,Pdam_270-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6277217865,20.443031311,0.2611904144,,,,0,0.01,1,3,19,,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_266-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9554862976,20.8055076599,0.212100476,,,,0,0.01,1,3,20,,N,N,N
B2,Pdam_267_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.9566898346,21.7393188477,0.3074103594,,,,0,0.01,1,3,20,,N,N,N
B3,Pdam_268-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.6553249359,19.4892463684,0.2348692119,,,,0,0.01,1,3,18,,N,N,N
B5,Pdam_268-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,22.4177017212,22.4571762085,0.0558267049,,,,0,0.01,1,3,21,,N,N,N
B6,Pdam_269-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.3359718323,18.6314849854,0.417920053,,,,0,0.01,1,3,17,,N,N,N
B7,Pdam_269-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.9730319977,20.1473693848,0.2465489507,,,,0,0.01,1,3,19,,N,N,N
B8,Pdam_269-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2898254395,20.2856330872,0.0059288815,,,,0,0.01,1,3,19,,N,N,N
B9,Pdam_270-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.1356906891,19.0951766968,0.0572954379,,,,0,0.01,1,3,18,,N,N,N
B10,Pdam_270-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.5448722839,21.3521766663,0.2725127637,,,,0,0.01,1,3,21,,N,N,N
B11,Pdam_270-1A_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.2583427429,20.443031311,0.2611904144,,,,0,0.01,1,3,19,,N,N,N
B12,Pdam_266-1_16,C,UNKNOWN,VIC,NFQ-MGB,37.4748687744,37.4748687744,,,,,0,0.01,1,3,39,,N,N,Y
B12,Pdam_266-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.9500961304,23.8558616638,0.133269012,,,,0,0.01,1,3,23,,N,N,Y
C1,Pdam_266-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6555309296,20.8055076599,0.212100476,,,,0,0.01,1,3,19,,N,N,N
C2,Pdam_267_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C2,Pdam_267_16,D,UNKNOWN,FAM,NFQ-MGB,23.1882572174,22.9775657654,0.2979640663,,,,0,0.01,1,3,21,,N,Y,Y
C3,Pdam_268-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.5615234375,22.5850467682,0.0332670137,,,,0,0.01,1,3,22,,Y,N,N
C3,Pdam_268-1_14,D,UNKNOWN,FAM,NFQ-MGB,35.7550926208,35.3056106567,0.6356607676,,,,0,0.01,1,3,35,,Y,N,N
C5,Pdam_268-1_16,C,UNKNOWN,VIC,NFQ-MGB,24.9232769012,24.9399604797,0.0235941429,,,,0,0.01,1,3,24,,N,N,N
C5,Pdam_268-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.581911087,23.6482963562,0.0938842967,,,,0,0.01,1,3,22,,N,N,N
C6,Pdam_269-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.6623649597,24.0921974182,0.6078762412,,,,0,0.01,1,3,23,,Y,N,N
C6,Pdam_269-1_14,D,UNKNOWN,FAM,NFQ-MGB,23.143327713,23.446231842,0.4283711314,,,,0,0.01,1,3,22,,Y,N,N
C7,Pdam_269-1_15,C,UNKNOWN,VIC,NFQ-MGB,25.9534912109,26.0032730103,0.0704034418,,,,0,0.01,1,3,25,,N,N,N
C7,Pdam_269-1_15,D,UNKNOWN,FAM,NFQ-MGB,22.7329673767,22.7321891785,0.0011005385,,,,0,0.01,1,3,21,,N,N,N
C8,Pdam_269-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C8,Pdam_269-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.9764881134,23.9254131317,0.0722309351,,,,0,0.01,1,3,23,,N,Y,Y
C9,Pdam_270-1A_14,C,UNKNOWN,VIC,NFQ-MGB,22.8173236847,22.8253898621,0.0114059485,,,,0,0.01,1,3,22,,Y,N,N
C9,Pdam_270-1A_14,D,UNKNOWN,FAM,NFQ-MGB,34.438041687,35.5587921143,1.5849831104,,,,0,0.01,1,3,34,,Y,N,N
C10,Pdam_270-1A_15,C,UNKNOWN,VIC,NFQ-MGB,23.5641078949,23.4956817627,0.0967691615,,,,0,0.01,1,3,23,,N,Y,Y
C10,Pdam_270-1A_15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C11,Pdam_270-1A_16,C,UNKNOWN,VIC,NFQ-MGB,26.822183609,26.8094978333,0.0179390479,,,,0,0.01,1,3,26,,N,N,N
C11,Pdam_270-1A_16,D,UNKNOWN,FAM,NFQ-MGB,24.1224517822,24.0004482269,0.1725390851,,,,0,0.01,1,3,23,,N,N,N
C12,Pdam_266-1_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,37.4748687744,,,,,0,0.01,1,3,39,,N,Y,Y
C12,Pdam_266-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.7616252899,23.8558616638,0.133269012,,,,0,0.01,1,3,23,,N,Y,Y
D1,Pdam_267_14,Pdam,UNKNOWN,FAM,NFQ-MGB,18.8667411804,18.8981132507,0.0443654582,,,,0,0.01,1,3,18,,N,N,N
D2,Pdam_267_16,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D2,Pdam_267_16,D,UNKNOWN,FAM,NFQ-MGB,22.766872406,22.9775657654,0.2979640663,,,,0,0.01,1,3,22,,N,Y,Y
D3,Pdam_268-1_14,C,UNKNOWN,VIC,NFQ-MGB,22.6085700989,22.5850467682,0.0332670137,,,,0,0.01,1,3,22,,Y,N,N
D3,Pdam_268-1_14,D,UNKNOWN,FAM,NFQ-MGB,34.8561325073,35.3056106567,0.6356607676,,,,0,0.01,1,3,35,,Y,N,N
D5,Pdam_268-1_16,C,UNKNOWN,VIC,NFQ-MGB,24.9566440582,24.9399604797,0.0235941429,,,,0,0.01,1,3,24,,N,N,N
D5,Pdam_268-1_16,D,UNKNOWN,FAM,NFQ-MGB,23.7146835327,23.6482963562,0.0938842967,,,,0,0.01,1,3,23,,N,N,N
D6,Pdam_269-1_14,C,UNKNOWN,VIC,NFQ-MGB,24.5220317841,24.0921974182,0.6078762412,,,,0,0.01,1,3,24,,Y,N,N
D6,Pdam_269-1_14,D,UNKNOWN,FAM,NFQ-MGB,23.7491359711,23.446231842,0.4283711314,,,,0,0.01,1,3,23,,Y,N,N
