Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate5.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-27 18:09:28 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_262-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7191104889,22.1140098572,0.5584720373,,,,0,0.01,1,3,21,,Y,N,N
A2,Pdam_275-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4287948608,19.1445064545,0.4020445347,,,,0,0.01,1,3,18,,N,N,N
A3,Pdam_275-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.7827415466,19.5813350677,0.2848317623,,,,0,0.01,1,3,19,,N,N,N
A4,Pdam_275-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,20.4679069519,20.1282749176,0.4803122282,,,,0,0.01,1,3,19,,N,N,N
A5,Pdam_298-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.0783653259,18.9188365936,0.2256076932,,,,0,0.01,1,3,18,,N,N,N
A6,Pdam_298-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5549716949,20.858341217,0.429030627,,,,0,0.01,1,3,19,,N,N,N
A7,Pdam_298-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7106170654,21.4903888702,0.3114497066,,,,0,0.01,1,3,21,,N,N,N
A8,Pdam_305-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.3198642731,19.0616531372,0.3651656806,,,,0,0.01,1,3,18,,N,N,N
A9,Pdam_305-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.40209198,19.9574508667,0.6288174987,,,,0,0.01,1,3,19,,Y,N,N
A10,Pdam_305-1_16,Pdam,UNKNOWN,FAM,NFQ-MGB,19.7774505615,19.7790222168,0.0022240048,,,,0,0.01,1,3,19,,N,N,N
A11,Pdam_329-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5847969055,19.2671127319,0.4492719173,,,,0,0.01,1,3,18,,N,N,N
A12,Pdam_262-1_14,C,UNKNOWN,VIC,NFQ-MGB,23.7621860504,28.2868690491,6.3988695145,,,,0,0.01,1,3,23,,Y,N,Y
A12,Pdam_262-1_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,N,Y
