Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Panama\Pdam_Plate7.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-10 15:48:43 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Pdam_NTC_14,Pdam,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,Pdam_258-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8685493469,20.4007987976,0.7527130246,,,,0,0.01,1,3,19,,Y,N,N
A3,Pdam_286-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.1800422668,19.8184890747,0.5113120675,,,,0,0.01,1,3,19,,Y,N,N
A4,Pdam_286-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.0201072693,19.7514762878,0.379901588,,,,0,0.01,1,3,19,,N,N,N
A5,Pdam_286-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.8431949615,20.7418823242,0.1432777047,,,,0,0.01,1,3,20,,N,N,N
A6,Pdam_292-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3209075928,20.1154689789,0.2905340791,,,,0,0.01,1,3,19,,N,N,N
A7,Pdam_292-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.834569931,20.9443321228,0.1552271843,,,,0,0.01,1,3,20,,N,N,N
A8,Pdam_299-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.5903682709,20.4463920593,0.2036131173,,,,0,0.01,1,3,20,,N,N,N
A9,Pdam_299-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3586158752,20.1174373627,0.3410779238,,,,0,0.01,1,3,19,,N,N,N
A10,Pdam_302-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.5149059296,19.6627960205,0.2091468275,,,,0,0.01,1,3,18,,N,N,N
A11,Pdam_302-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.0939807892,20.7711181641,0.4565980434,,,,0,0.01,1,3,20,,N,N,N
A12,Pdam_NTC_14,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A12,Pdam_NTC_14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B1,Pdam_252-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,21.7948131561,21.7123851776,0.1165707633,,,,0,0.01,1,3,21,,N,N,N
B2,Pdam_258-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.9330463409,20.4007987976,0.7527130246,,,,0,0.01,1,3,20,,Y,N,N
B3,Pdam_286-1A_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4569377899,19.8184890747,0.5113120675,,,,0,0.01,1,3,18,,Y,N,N
B4,Pdam_286-1A_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.4828453064,19.7514762878,0.379901588,,,,0,0.01,1,3,19,,N,N,N
B5,Pdam_286-1B_15,Pdam,UNKNOWN,FAM,NFQ-MGB,20.6405696869,20.7418823242,0.1432777047,,,,0,0.01,1,3,20,,N,N,N
B6,Pdam_292-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,19.910030365,20.1154689789,0.2905340791,,,,0,0.01,1,3,19,,N,N,N
B7,Pdam_292-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,21.0540943146,20.9443321228,0.1552271843,,,,0,0.01,1,3,20,,N,N,N
B8,Pdam_299-1_14,Pdam,UNKNOWN,FAM,NFQ-MGB,20.3024158478,20.4463920593,0.2036131173,,,,0,0.01,1,3,19,,N,N,N
B9,Pdam_299-1_15,Pdam,UNKNOWN,FAM,NFQ-MGB,19.8762588501,20.1174373627,0.3410779238,,,,0,0.01,1,3,19,,N,N,N
