Colony,Year.2,C.SH,D.SH,tot.SH,logTot.SH,D.Prp,,logC.SH,logD.SH,Year,Sample,Reef,Spp,Depht,Community,DominantCommunity,D14.D.Prp,D14Community,D14Dominant,D16.D.Prp,D16Community,D16Dominant,ITS2_14,ORF,ORFCommunity,ORFCommunity2,DominantITS2
336-1A,2015,0.005625815580097,0,0.005625815580097,-2.24981450854821,0,0.0,-2.24981450854821,NA,15,15_336-1A,Shallow Millepora ,P.ele,15,Cladocopium-only,Cladocopium-dominated,0.000429973968163,Mixed,Cladocopium-dominated,1,Durusdinium-only,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
336-1A,2016,0,0.031652959300262,0.031652959300262,-1.4995856806642,1,100.0,NA,-1.4995856806642,16,16_336-1A,Shallow Millepora ,P.ele,15,Durusdinium-only,Durusdinium-dominated,0.000429973968163,Mixed,Cladocopium-dominated,1,Durusdinium-only,Durusdinium-dominated,C1bc,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
339-1A,2014,0.036108879959179,0,0.036108879959179,-1.4423859824979,0,0.0,-1.4423859824979,NA,14,14_339-1A,Shallow Millepora ,P.ele,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0.999182470704487,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
339-1A,2015,0.017626112426404,0,0.017626112426404,-1.75384346410094,0,0.0,-1.75384346410094,NA,15,15_339-1A,Shallow Millepora ,P.ele,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0.999182470704487,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
339-1A,2016,2.25E-05,0.027545543279369,0.027568080993202,-1.55959346396566,0.999182470704487,99.9,-4.6470901397566,-1.5599486576379,16,16_339-1A,Shallow Millepora ,P.ele,15,Mixed,Durusdinium-dominated,0,Cladocopium-only,Cladocopium-dominated,0.999182470704487,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
340-1A,2014,0.009535262806511,0,0.009535262806511,-2.02066733262903,0,0.0,-2.02066733262903,NA,14,14_340-1A,Shallow Millepora ,P.dam,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
340-1A,2015,0.001460321754366,0,0.001460321754366,-2.8355514450715,0,0.0,-2.8355514450715,NA,15,15_340-1A,Shallow Millepora ,P.dam,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
340-1A,2016,0.004636996777901,0,0.004636996777901,-2.3337632058813,0,0.0,-2.3337632058813,NA,16,16_340-1A,Shallow Millepora ,P.dam,15,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
257-1,2014,0.016464971640799,0,0.016464971640799,-1.78343901297851,0,0.0,-1.78343901297851,NA,14,14_257-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
268-1,2015,0.138489780370714,6.13E-05,0.138551050758672,-0.858390176219082,0.000442222470509,0.0,-0.85858227347579,-4.21274936974929,15,15_268-1,Coral Collection Point,P.ele,20,Mixed,Cladocopium-dominated,9.59E-05,Mixed,Cladocopium-dominated,0.613005699952209,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
262-1,2014,0.082985095882412,0,0.082985095882412,-1.08099989987991,0,0.0,-1.08099989987991,NA,14,14_262-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
262-1,2015,0.010383434485957,0,0.010383434485957,-1.98365897292395,0,0.0,-1.98365897292395,NA,15,15_262-1,M.intrincata Shallow,P.dam,10,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,C1d,Type 3,Type 3_Cladocopium-only,Type 3_Cladocopium-dominated,C1d-dominated
271-1,2015,0.032825405965565,0,0.032825405965565,-1.48378989410324,0,0.0,-1.48378989410324,NA,15,15_271-1,Coral Collection Point,P.ele,20,Cladocopium-only,Cladocopium-dominated,0.002574989013636,Mixed,Cladocopium-dominated,0.835399166490791,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
274-1,2016,0,0.019433450655159,0.019433450655159,-1.71145007807038,1,100.0,NA,-1.71145007807038,16,16_274-1,Coral Collection Point,P.ele,20,Durusdinium-only,Durusdinium-dominated,0.875407469326424,Mixed,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
