Colony,Year.2,C.SH,D.SH,tot.SH,logTot.SH,D.Prp,,logC.SH,logD.SH,Year,Sample,Reef,Spp,Depht,Community,DominantCommunity,D14.D.Prp,D14Community,D14Dominant,D16.D.Prp,D16Community,D16Dominant,ITS2_14,ORF,ORFCommunity,ORFCommunity2,DominantITS2
285-1,2014,0.015850166004329,3.91E-06,0.015854078263294,-1.79985900225256,0.000246766724671,0.0,-1.7999661849045,-5.40757240550635,14,14_285-1,Ridley Rock Shallow,P.dam,27,Mixed,Cladocopium-dominated,0.000246766724671,Mixed,Cladocopium-dominated,0.307273254605987,Mixed,Cladocopium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
285-1,2015,0.690021192353918,0,0.690021192353918,-0.161137570739515,0,0.0,-0.161137570739515,NA,15,15_285-1,Ridley Rock Shallow,P.dam,27,Cladocopium-only,Cladocopium-dominated,0.000246766724671,Mixed,Cladocopium-dominated,0.307273254605987,Mixed,Cladocopium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
285-1,2016,0.027404830306379,0.012155978466482,0.039560808772861,-1.40273483835898,0.307273254605987,30.7,-1.56217288278103,-1.91521007791558,16,16_285-1,Ridley Rock Shallow,P.dam,27,Mixed,Cladocopium-dominated,0.000246766724671,Mixed,Cladocopium-dominated,0.307273254605987,Mixed,Cladocopium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Cladocopium-dominated,C1bc-dominated
287-1,2014,0.024440872219035,0,0.024440872219035,-1.61188329952791,0,0.0,-1.61188329952791,NA,14,14_287-1,Ridley Rock Shallow,P.dam,30,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0.881107649065034,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
287-1,2015,0.035462577077727,0,0.035462577077727,-1.45022970725826,0,0.0,-1.45022970725826,NA,15,15_287-1,Ridley Rock Shallow,P.dam,30,Cladocopium-only,Cladocopium-dominated,0,Cladocopium-only,Cladocopium-dominated,0.881107649065034,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Cladocopium-only,Type 1_Cladocopium-dominated,C1bc-dominated
287-1,2016,0.003143055975575,0.023293093624112,0.026436149599687,-1.57780179916298,0.881107649065034,88.1,-2.50264788443995,-1.63277282771019,16,16_287-1,Ridley Rock Shallow,P.dam,30,Mixed,Durusdinium-dominated,0,Cladocopium-only,Cladocopium-dominated,0.881107649065034,Mixed,Durusdinium-dominated,C1bc,Type 1,Type 1_Mixed,Type 1_Durusdinium-dominated,D1-dominated
289-1,2014,0,0.029708963618268,0.029708963618268,-1.52711249806904,1,100.0,NA,-1.52711249806904,14,14_289-1,Gardineroseris city,P.dam,17,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
289-1,2015,0,0.019299517126357,0.019299517126357,-1.71445355689804,1,100.0,NA,-1.71445355689804,15,15_289-1,Gardineroseris city,P.dam,17,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
289-1,2016,0,0.032423714185834,0.032423714185834,-1.48913723754364,1,100.0,NA,-1.48913723754364,16,16_289-1,Gardineroseris city,P.dam,17,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
290-1,2014,0,0.034837688695385,0.034837688695385,-1.45795066595305,1,100.0,NA,-1.45795066595305,14,14_290-1,Gardineroseris city,P.dam,14,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,1,Durusdinium-only,Durusdinium-dominated,D1,Type 1,Type 1_Durusdinium-only,Type 1_Durusdinium-dominated,D1-dominated
