Region,Location,Reef,Depht,Spp,Year.2,Number,Tag,Sample,Collection day,Notes,Depth.2
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.ele,2014,,473,14_343,,,Shallow
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.ele,2014,,480,14_358,,,Shallow
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.ele,2014,,481,14_359,,,Shallow
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.ele,2014,,482,14_360,,,Shallow
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.mea,2014,,483,14_361,,,Shallow
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.ver,2014,,484,14_362,,,Shallow
Gal_Floreana,Floreana,"Corona del Diablo, inside crown",3,P.ver,2014,,485,14_363,,,Shallow
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",38,P.eyd,2014,,516,14_392,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.eyd,2014,,524,14_401,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",41,P.eff,2014,,528,14_407,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",39,P.eff,2014,,529,14_408,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.eff,2014,,533,14_412,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.mea,2014,,534,14_413,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",40,P.ele,2014,,539,14_415,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",39,P.eff,2014,,543,14_419,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",38,P.eyd,2014,,544,14_420,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",42,P.eff,2014,,545,14_421,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",42,P.eff,2014,,546,14_422,,,mid
Gal_Darwin,Darwin,"Darwin Reef, next to BEAMS",42,P.eff,2014,,547,14_423,,,mid
