,Spp,Colony,Year,File.Name,C.CT.mean,D.CT.mean,Pdam.CT.mean,C.CT.sd,D.CT.sd,Pdam.CT.sd,C.reps,D.reps,Pdam.reps,C.SH,D.SH,Sample,ID,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,C.Prp,Community,RanA,RanB,
110,Pdam,506,14,Gal1_Dprobes_data.csv,31.8335132141,24.3410725594,20.4548224297,1.4339088454,0.1449376479,1.4228245625,5,8,8,0.0003628973,1.0891352621,14_506,14_506.Gal1_Dprobes_data.csv,1.0894981594,0.0372265009,-3.4402163083,0.0370818191,0.9996669134,2,2,,,
111,Pdam,509,14,Gal1_Dprobes_data.csv,22.1329132099,31.2690076828,12.3533631649,0.2280867816,0.3747210051,0.429026354,8,8,8,0.0010994438,3.25674152454909E-05,14_509,14_509.Gal1_Dprobes_data.csv,0.0011320112,-2.946149283,-2.9588269785,-4.4872167084,0.0287695173,2,2,,,
112,Pdam,510,14,Gal1_Dprobes_data.csv,20.9461847324,39.2048619588,16.788322815,0.148025125,0.9214392148,1.041725743,8,3,8,0.0541339571,2.87679554513571E-06,14_510,14_510.Gal1_Dprobes_data.csv,0.0541368339,-1.2665071471,-1.2665302258,-5.5410910025,5.31393385931837E-05,2,2,,,
4,Pdam,257-1,14,Chi-Pdam_Plate2.csv,18.8648570557,18.8303222656,11.3430723038,0.126667127,0.0266233213,0.0595976668,2,2,2,0.005258091,0.0897579356,14_257-1,14_257-1.Chi-Pdam_Plate2.csv,0.0950160266,-1.0222031351,-2.2791719021,-1.0469271447,0.9446610094,2,DC,2,,
173,Pdam,259-1,14,Gal-Pdam_Plate16.csv,32.1475451966,24.1616306305,17.1615918961,1.4304519001,1.0007671399,1.0781325693,2,2,2,2.977758493863E-05,0.1258166301,14_259-1,14_259-1.Gal-Pdam_Plate16.csv,0.1258464077,-0.9001591768,-4.5261105279,-0.9002619511,0.9997633815,2,NA,2,,
177,Pdam,285-1,15,Gal-Pdam_Plate16.csv,19.2522891541,37.0180358887,18.0895036545,0.0737738437,NA,2.9421939443,2,1,2,0.431596203,0,15_285-1,15_285-1.Gal-Pdam_Plate16.csv,0.431596203,-0.3649223847,-0.3649223847,NA,0,3,C,2,,
180,Pdam,374-1,14,Gal-Pdam_Plate16.csv,28.5755122681,24.125864029,13.418807396,1.804262752,0.5221003237,0.4102540517,2,2,2,2.64538037422825E-05,0.0096341736,14_374-1,14_374-1.Gal-Pdam_Plate16.csv,0.0096606274,-2.0149946684,-4.5775118728,-2.016185533,0.9972616888,2,NA,2,,
244,Pdam,374-1,15,Pan-Pdam_Plate8.csv,NA,23.619214058,13.9105676499,NA,0.0545724138,0.086544676,0,2,2,0,0.0192471261,15_374-1,15_374-1.Pan-Pdam_Plate8.csv,0.0192471261,-1.7156341073,NA,-1.7156341073,1,2,NA,2,,
182,Pdam,377-1,14,Gal-Pdam_Plate16.csv,28.5741723557,24.2161312104,14.9005054322,3.2752255287,0.06650975,1.0040067152,2,2,2,7.39481024939745E-05,0.0252741694,14_377-1,14_377-1.Gal-Pdam_Plate16.csv,0.0253481175,-1.5960542892,-4.1310729655,-1.5973231088,0.9970826984,2,NA,2,,
260,Pdam,377-1,15,Pan-Pdam_Plate9.csv,NA,22.8605146408,14.1243032303,NA,0.1247910865,1.7642940526,0,2,2,0,0.0377657397,15_377-1,15_377-1.Pan-Pdam_Plate9.csv,0.0377657397,-1.4229020042,NA,-1.4229020042,1,3,NA,2,,
267,Pdam,419-1A,15,Pan-Pdam_Plate9.csv,21.1260684509,27.3127422333,13.4619592515,0.0884935462,0.0292074288,1.522779798,2,2,2,0.0047641362,0.0010900804,15_419-1A,15_419-1A.Pan-Pdam_Plate9.csv,0.0058542166,-2.2325312109,-2.3220158299,-2.9625414622,0.1862043184,2,DC,2,,
13,Pdam,264-1,14,Chi-Pdam_Plate2.csv,NA,21.8361768723,11.6493963089,NA,0.0884921975,0.2920999138,0,2,2,0,0.0138176176,14_264-1,14_264-1.Chi-Pdam_Plate2.csv,0.0138176176,-1.85956683,NA,-1.85956683,1,2,2,,,
